adm0_id,adm1_id,population
253,767,164695
253,768,279336
253,774,316317
253,775,182527
253,777,169506
253,778,144427
253,779,81538
253,780,216719
253,781,134380
253,782,455626
253,784,144992
253,787,289174
253,788,245072
253,789,215898
253,790,254419
253,852,262790
253,1080,264537
253,1082,131988
253,1086,178895
253,1235,257121
253,1241,323614
253,1344,288072
253,1360,200120
253,1361,447619
253,1364,248616
253,1365,365410
253,1366,296494
253,1368,274863
253,1372,114056
253,3104,248582
253,3105,463736
253,3107,476900
253,3108,259287
253,3109,262037
253,3110,454482
253,3111,545325
253,3112,744938
253,3114,527743
253,3115,588145
253,3117,67555
253,3121,812300
253,3123,1105971
253,3124,176392
253,3125,295948
253,3128,309959
253,3131,345592
253,3136,117384
253,3140,474443
253,3141,571522
253,3142,479140
253,3143,597876
253,3145,300619
253,42179,606615
253,42180,548493
253,42181,281245
253,42182,1724743
253,42183,530552
253,42184,279885
253,42185,417084
253,42186,221315
253,42187,539089
253,42188,354718
253,42189,588424
253,42191,122592
253,42192,301891
253,42193,753628
253,42194,226976
253,42195,219319
253,42196,205560
253,42197,347806
253,42198,282126
253,42199,372382
253,42200,2991668
253,42201,677965
253,47067,184216
253,47068,335007
253,47069,947737
253,47070,123942
253,47071,310271
253,47072,281228
253,47073,629668
253,47074,155231
253,47075,292143
253,47076,568331
253,47077,121534
253,47078,199589
253,47079,420369
253,47080,259689
253,47081,218020
253,47082,479703
253,47083,533585
253,47084,424674
253,47085,603406
253,47086,533874
253,47087,369755
253,47088,888529
253,47089,238356
253,47090,633503
254,901190,1961531
254,901191,1222744
254,901192,1017379
254,901193,908082
254,901194,3229879
254,901195,4193652
254,901196,1400006
254,901197,2685109
254,901198,1064300
254,901199,1271889
254,901200,939540
254,901201,1887879
254,901202,2768315
254,901203,2135531
254,901204,2523006
254,901205,1149358
254,901206,2349411
254,901207,1392578
254,901208,1167750
254,901209,362287
254,901210,1084439
254,901211,1052696
254,901212,1571003
254,901213,1044032
254,901214,1269024
254,901215,1740975
254,901216,1230122
257,901091,2153957
257,901093,6882589
257,901094,2501056
257,901095,1058669
257,901096,2903593
257,901098,2616933
257,901100,1913030
257,901101,940411
257,901102,1876567
257,901104,2117002
257,901105,3308913
257,901107,2729115
257,901108,1407439
257,901109,3372992
257,901110,222842
257,901111,237962
257,901112,1361243
257,901113,1321682
257,901114,1660045
257,901116,1843510
257,901117,1683571
257,901118,204678
257,901119,135905
257,901120,2438690
257,901121,2492856
257,901122,805259
257,901123,2526839
257,901124,741773
257,901125,760407
257,901126,2098805
277,900587,37940
277,900588,34829
277,900589,36220
277,900590,114428
277,900591,58760
277,900592,10503
263,900865,163576
263,900866,1567147
263,900867,495045
263,900868,1712693
263,900869,939115
263,900870,1564043
263,900871,2352530
263,900872,348038
263,900873,376530
263,900874,1620755
263,900875,983950
263,900876,768039
263,900877,1839793
263,900878,804400
263,900879,2845860
263,900880,973363
263,900881,528021
263,900882,795285
263,900883,906466
263,900884,1186109
263,900885,714879
263,900886,559861
263,900887,696136
263,900888,4128563
264,3326,2177931
264,3327,1214281
264,3328,307752
264,3329,1576521
264,3330,985661
264,3331,1080731
264,3332,1167448
264,3333,1449663
264,3334,3184126
264,3335,1158547
264,3336,1241125
264,3337,1362373
264,3338,509172
264,3339,1265198
264,3340,1095372
264,3341,2038698
264,3342,3084461
264,3343,1728105
264,3344,1604495
264,3345,853947
264,3346,750386
264,3347,4580827
264,3348,3322561
264,3349,1143153
264,3350,1708460
264,3351,1953714
264,3352,10200325
264,3353,821972
264,3354,1160797
264,3355,1173365
264,3356,1760493
264,3357,650849
264,3358,689288
264,3359,1391953
264,3360,745890
264,3361,621571
264,3362,1560693
264,3364,1657251
264,3366,2867059
264,3367,881843
264,3368,617490
264,3369,611234
264,3370,916651
264,3371,867549
264,3372,1421659
264,3374,1192340
264,3375,1163626
264,3376,610250
264,3377,1391346
264,3378,1297073
264,3379,1147658
264,3380,1686813
264,3381,1180349
264,3382,3187800
264,3383,1075826
264,3384,1694543
264,3386,1009502
264,3387,761613
264,3388,1007819
264,3389,1119852
264,3390,788016
264,73935,723272
264,73936,605627
264,73937,734432
269,3407,615154
269,3409,997308
269,3410,775404
269,3408,779656
269,3411,2985122
269,3412,603816
269,3413,169327
269,3414,774511
269,144969,3406643
269,3415,1205960
269,3416,2176229
269,900100,1510895
269,3418,2510327
269,3419,3080130
269,3420,1058219
269,3421,495634
269,144971,646854
269,3422,981401
269,3423,1469960
269,3424,665881
269,900101,68247
269,3425,3065034
270,900844,2183195
270,900845,2359899
270,900846,2034553
270,900847,1577296
270,900848,2918535
270,900850,1016759
270,900851,1463563
270,900852,1828965
270,900853,1017844
271,900969,600375
271,900970,2220067
271,900971,1924963
271,900972,1302677
271,900973,1672958
271,900974,1782777
271,900975,1643645
271,900976,827873
271,900977,711565
271,900978,1752114
